 Inner phase shift
   8.9509612349278588E-003
 Coulomb phase shift
   0.0000000000000000     
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   1.00975790E-07  0.00000000E+00  0.00000000E+00
   2.03928610E-07  0.00000000E+00  0.00000000E+00
   3.08897160E-07  0.00000000E+00  0.00000000E+00
   4.15920900E-07  0.00000000E+00  0.00000000E+00
   5.25040080E-07  0.00000000E+00  0.00000000E+00
   6.36295720E-07  0.00000000E+00  0.00000000E+00
   7.49729660E-07  0.00000000E+00  0.00000000E+00
   8.65384530E-07  0.00000000E+00  0.00000000E+00
   9.83303830E-07  0.00000000E+00  0.00000000E+00
   1.10353190E-06  0.00000000E+00  0.00000000E+00
   1.22611390E-06  0.00000000E+00  0.00000000E+00
   1.35109600E-06  0.00000000E+00  0.00000000E+00
   1.47852510E-06  0.00000000E+00  0.00000000E+00
   1.60844920E-06  0.00000000E+00  0.00000000E+00
   1.74091710E-06  0.00000000E+00  0.00000000E+00
   1.87597860E-06  0.00000000E+00  0.00000000E+00
   2.01368450E-06  0.00000000E+00  0.00000000E+00
   2.15408650E-06  0.00000000E+00  0.00000000E+00
   2.29723760E-06  0.00000000E+00  0.00000000E+00
   2.44319130E-06  0.00000000E+00  0.00000000E+00
   2.59200280E-06  0.00000000E+00  0.00000000E+00
   2.74372780E-06  0.00000000E+00  0.00000000E+00
   2.89842350E-06  0.00000000E+00  0.00000000E+00
   3.05614800E-06  0.00000000E+00  0.00000000E+00
   3.21696060E-06  0.00000000E+00  0.00000000E+00
   3.38092180E-06  0.00000000E+00  0.00000000E+00
   3.54809320E-06  0.00000000E+00  0.00000000E+00
   3.71853770E-06  0.00000000E+00  0.00000000E+00
   3.89231940E-06  0.00000000E+00  0.00000000E+00
   4.06950350E-06  0.00000000E+00  0.00000000E+00
   4.25015680E-06  0.00000000E+00  0.00000000E+00
   4.43434710E-06  0.00000000E+00  0.00000000E+00
   4.62214370E-06  0.00000000E+00  0.00000000E+00
   4.81361720E-06  0.00000000E+00  0.00000000E+00
   5.00883960E-06  0.00000000E+00  0.00000000E+00
   5.20788430E-06  0.00000000E+00  0.00000000E+00
   5.41082610E-06  0.00000000E+00  0.00000000E+00
   5.61774130E-06  0.00000000E+00  0.00000000E+00
   5.82870780E-06  0.00000000E+00  0.00000000E+00
   6.04380480E-06  0.00000000E+00  0.00000000E+00
   6.26311320E-06  0.00000000E+00  0.00000000E+00
   6.48671550E-06  0.00000000E+00  0.00000000E+00
   6.71469570E-06  0.00000000E+00  0.00000000E+00
   6.94713960E-06  0.00000000E+00  0.00000000E+00
   7.18413460E-06  0.00000000E+00  0.00000000E+00
   7.42576970E-06  0.00000000E+00  0.00000000E+00
   7.67213590E-06  0.00000000E+00  0.00000000E+00
   7.92332560E-06  0.00000000E+00  0.00000000E+00
   8.17943350E-06  0.00000000E+00  0.00000000E+00
   8.44055570E-06  0.00000000E+00  0.00000000E+00
   8.70679050E-06  0.00000000E+00  0.00000000E+00
   8.97823790E-06  0.00000000E+00  0.00000000E+00
   9.25500010E-06  0.00000000E+00  0.00000000E+00
   9.53718100E-06  0.00000000E+00  0.00000000E+00
   9.82488680E-06  0.00000000E+00  0.00000000E+00
   1.01182260E-05  0.00000000E+00  0.00000000E+00
   1.04173080E-05  0.00000000E+00  0.00000000E+00
   1.07222460E-05  0.00000000E+00  0.00000000E+00
   1.10331540E-05  0.00000000E+00  0.00000000E+00
   1.13501500E-05  0.00000000E+00  0.00000000E+00
   1.16733520E-05  0.00000000E+00  0.00000000E+00
   1.20028820E-05  0.00000000E+00  0.00000000E+00
   1.23388640E-05  0.00000000E+00  0.00000000E+00
   1.26814240E-05  0.00000000E+00  0.00000000E+00
   1.30306920E-05  0.00000000E+00  0.00000000E+00
   1.33867980E-05  0.00000000E+00  0.00000000E+00
   1.37498760E-05  0.00000000E+00  0.00000000E+00
   1.41200620E-05  0.00000000E+00  0.00000000E+00
   1.44974970E-05  0.00000000E+00  0.00000000E+00
   1.48823210E-05  0.00000000E+00  0.00000000E+00
   1.52746810E-05  0.00000000E+00  0.00000000E+00
   1.56747220E-05  0.00000000E+00  0.00000000E+00
   1.60825950E-05  0.00000000E+00  0.00000000E+00
   1.64984550E-05  0.00000000E+00  0.00000000E+00
   1.69224560E-05  0.00000000E+00  0.00000000E+00
   1.73547590E-05  0.00000000E+00  0.00000000E+00
   1.77955270E-05  0.00000000E+00  0.00000000E+00
   1.82449240E-05  0.00000000E+00  0.00000000E+00
   1.87031200E-05  0.00000000E+00  0.00000000E+00
   1.91702870E-05  0.00000000E+00  0.00000000E+00
   1.96466000E-05  0.00000000E+00  0.00000000E+00
   2.01322400E-05  0.00000000E+00  0.00000000E+00
   2.06273880E-05  0.00000000E+00  0.00000000E+00
   2.11322310E-05  0.00000000E+00  0.00000000E+00
   2.16469570E-05  0.00000000E+00  0.00000000E+00
   2.21717620E-05  0.00000000E+00  0.00000000E+00
   2.27068420E-05  0.00000000E+00  0.00000000E+00
   2.32523990E-05  0.00000000E+00  0.00000000E+00
   2.38086370E-05  0.00000000E+00  0.00000000E+00
   2.43757650E-05  0.00000000E+00  0.00000000E+00
   2.49539980E-05  0.00000000E+00  0.00000000E+00
   2.55435520E-05  0.00000000E+00  0.00000000E+00
   2.61446480E-05  0.00000000E+00  0.00000000E+00
   2.67575140E-05  0.00000000E+00  0.00000000E+00
   2.73823790E-05  0.00000000E+00  0.00000000E+00
   2.80194780E-05  0.00000000E+00  0.00000000E+00
   2.86690520E-05  0.00000000E+00  0.00000000E+00
   2.93313430E-05  0.00000000E+00  0.00000000E+00
   3.00066010E-05  0.00000000E+00  0.00000000E+00
   3.06950810E-05  0.00000000E+00  0.00000000E+00
   3.13970400E-05  0.00000000E+00  0.00000000E+00
   3.21127430E-05  0.00000000E+00  0.00000000E+00
   3.28424580E-05  0.00000000E+00  0.00000000E+00
   3.35864610E-05  0.00000000E+00  0.00000000E+00
   3.43450310E-05  0.00000000E+00  0.00000000E+00
   3.51184530E-05  0.00000000E+00  0.00000000E+00
   3.59070180E-05  0.00000000E+00  0.00000000E+00
   3.67110220E-05  0.00000000E+00  0.00000000E+00
   3.75307680E-05  0.00000000E+00  0.00000000E+00
   3.83665640E-05  0.00000000E+00  0.00000000E+00
   3.92187240E-05  0.00000000E+00  0.00000000E+00
   4.00875690E-05  0.00000000E+00  0.00000000E+00
   4.09734240E-05  0.00000000E+00  0.00000000E+00
   4.18766240E-05  0.00000000E+00  0.00000000E+00
   4.27975080E-05  0.00000000E+00  0.00000000E+00
   4.37364220E-05  0.00000000E+00  0.00000000E+00
   4.46937190E-05  0.00000000E+00  0.00000000E+00
   4.56697590E-05  0.00000000E+00  0.00000000E+00
   4.66649090E-05  0.00000000E+00  0.00000000E+00
   4.76795430E-05  0.00000000E+00  0.00000000E+00
   4.87140430E-05  0.00000000E+00  0.00000000E+00
   4.97687970E-05  0.00000000E+00  0.00000000E+00
   5.08442030E-05  0.00000000E+00  0.00000000E+00
   5.19406640E-05  0.00000000E+00  0.00000000E+00
   5.30585920E-05  0.00000000E+00  0.00000000E+00
   5.41984090E-05  0.00000000E+00  0.00000000E+00
   5.53605420E-05  0.00000000E+00  0.00000000E+00
   5.65454290E-05  0.00000000E+00  0.00000000E+00
   5.77535140E-05  0.00000000E+00  0.00000000E+00
   5.89852530E-05  0.00000000E+00  0.00000000E+00
   6.02411090E-05  0.00000000E+00  0.00000000E+00
   6.15215520E-05  0.00000000E+00  0.00000000E+00
   6.28270660E-05  0.00000000E+00  0.00000000E+00
   6.41581400E-05  0.00000000E+00  0.00000000E+00
   6.55152760E-05  0.00000000E+00  0.00000000E+00
   6.68989830E-05  0.00000000E+00  0.00000000E+00
   6.83097810E-05  0.00000000E+00  0.00000000E+00
   6.97482020E-05  0.00000000E+00  0.00000000E+00
   7.12147860E-05  0.00000000E+00  0.00000000E+00
   7.27100840E-05  0.00000000E+00  0.00000000E+00
   7.42346580E-05  0.00000000E+00  0.00000000E+00
   7.57890830E-05  0.00000000E+00  0.00000000E+00
   7.73739410E-05  0.00000000E+00  0.00000000E+00
   7.89898300E-05  0.00000000E+00  0.00000000E+00
   8.06373560E-05  0.00000000E+00  0.00000000E+00
   8.23171390E-05  0.00000000E+00  0.00000000E+00
   8.40298100E-05  0.00000000E+00  0.00000000E+00
   8.57760140E-05  0.00000000E+00  0.00000000E+00
   8.75564070E-05  0.00000000E+00  0.00000000E+00
   8.93716580E-05  0.00000000E+00  0.00000000E+00
   9.12224510E-05  0.00000000E+00  0.00000000E+00
   9.31094800E-05  0.00000000E+00  0.00000000E+00
   9.50334550E-05  0.00000000E+00  0.00000000E+00
   9.69950990E-05  0.00000000E+00  0.00000000E+00
   9.89951510E-05  0.00000000E+00  0.00000000E+00
   1.01034360E-04  0.00000000E+00  0.00000000E+00
   1.03113500E-04  0.00000000E+00  0.00000000E+00
   1.05233340E-04  0.00000000E+00  0.00000000E+00
   1.07394690E-04  0.00000000E+00  0.00000000E+00
   1.09598360E-04  0.00000000E+00  0.00000000E+00
   1.11845170E-04  0.00000000E+00  0.00000000E+00
   1.14135970E-04  0.00000000E+00  0.00000000E+00
   1.16471620E-04  0.00000000E+00  0.00000000E+00
