 # Test of the spline interpolation (output from subroutine SPLERR)
 #        x                y(x)          y_spline(x)      rel.dif.
   1.8085029997E-07  4.6334364513E-02  4.6328850183E-02  1.1901E-04
   4.1572939023E-07  1.0649693872E-01  1.0650190297E-01  4.6614E-05
   6.9969872533E-07  1.7923537137E-01  1.7923342677E-01  1.0849E-05
   9.8366806043E-07  2.5196362928E-01  2.5196335833E-01  1.0753E-06
   1.2185471507E-06  3.1210739287E-01  3.1210749331E-01  3.2182E-07
   1.3637883218E-06  3.4929354741E-01  3.4929358345E-01  1.0318E-07
   1.4569723201E-06  3.7314957858E-01  3.7314957543E-01  8.4600E-09
   1.6918065251E-06  4.3326114262E-01  4.3326092399E-01  5.0464E-07
   2.0715724276E-06  5.3043867748E-01  5.3043843030E-01  4.6599E-07
   2.5307102365E-06  6.4786012113E-01  6.4786029651E-01  2.7070E-07
   2.9898480453E-06  7.6519651242E-01  7.6519661722E-01  1.3697E-07
   3.3696139478E-06  8.6217420515E-01  8.6217419401E-01  1.2923E-08
   3.6044481528E-06  9.2210375977E-01  9.2210375870E-01  1.1678E-09
   3.7437234153E-06  9.5763185675E-01  9.5763185342E-01  3.4832E-09
   4.0769598953E-06  1.0425900605E+00  1.0425900411E+00  1.8608E-08
   4.6158586158E-06  1.1798258223E+00  1.1798258427E+00  1.7335E-08
   5.2673883504E-06  1.3454563877E+00  1.3454564408E+00  3.9496E-08
   5.9189180851E-06  1.5107309949E+00  1.5107309923E+00  1.7154E-09
   6.4578168056E-06  1.6471339732E+00  1.6471339687E+00  2.7476E-09
   6.7910532856E-06  1.7313330582E+00  1.7313330578E+00  2.5803E-10
   6.9886875529E-06  1.7812130988E+00  1.7812130978E+00  5.5140E-10
   7.4615542646E-06  1.9003791879E+00  1.9003791826E+00  2.8307E-09
   8.2262582546E-06  2.0925216000E+00  2.0925215989E+00  4.9619E-10
   9.1507870551E-06  2.3237947581E+00  2.3237947476E+00  4.5045E-09
   1.0075315856E-05  2.5538261561E+00  2.5538261349E+00  8.3197E-09
   1.0840019846E-05  2.7430649572E+00  2.7430649504E+00  2.4591E-09
   1.1312886557E-05  2.8595855928E+00  2.8595855919E+00  3.1272E-10
   1.1593329365E-05  2.9285022461E+00  2.9285022443E+00  6.3466E-10
   1.2264322196E-05  3.0928012997E+00  3.0928012749E+00  8.0375E-09
   1.3349429017E-05  3.3566319764E+00  3.3566318652E+00  3.3125E-08
   1.4661325544E-05  3.6722724280E+00  3.6722722257E+00  5.5094E-08
   1.5973222071E-05  3.9839395029E+00  3.9839393398E+00  4.0947E-08
   1.7058328893E-05  4.2384808204E+00  4.2384807724E+00  1.1318E-08
   1.7729321723E-05  4.3943182948E+00  4.3943182877E+00  1.6024E-09
   1.8127261693E-05  4.4861526817E+00  4.4861526669E+00  3.2922E-09
   1.9079371397E-05  4.7040376915E+00  4.7040374621E+00  4.8769E-08
   2.0619090882E-05  5.0506369696E+00  5.0506358341E+00  2.2483E-07
   2.2480615114E-05  5.4595101222E+00  5.4595080115E+00  3.8661E-07
   2.4342139347E-05  5.8563951817E+00  5.8563934612E+00  2.9379E-07
   2.5881858831E-05  6.1749821427E+00  6.1749816231E+00  8.4133E-08
   2.6833968535E-05  6.3673690114E+00  6.3673689332E+00  1.2272E-08
   2.7398617233E-05  6.4797418909E+00  6.4797417261E+00  2.5429E-08
   2.8749575331E-05  6.7432449368E+00  6.7432423045E+00  3.9037E-07
   3.0934298895E-05  7.1527664641E+00  7.1527530906E+00  1.8697E-06
   3.3575634474E-05  7.6190549967E+00  7.6190298763E+00  3.2971E-06
   3.6216970054E-05  8.0521613787E+00  8.0521411389E+00  2.5136E-06
   3.8401693618E-05  8.3843344429E+00  8.3843285037E+00  7.0836E-07
   3.9752651716E-05  8.5776603869E+00  8.5776595249E+00  1.0050E-07
   4.0553815633E-05  8.6879026046E+00  8.6879008116E+00  2.0637E-07
   4.2470614688E-05  8.9382742103E+00  8.9382475623E+00  2.9813E-06
   4.5570397036E-05  9.3032441789E+00  9.3031299344E+00  1.2280E-05
   4.9318040690E-05  9.6798271518E+00  9.6796711992E+00  1.6111E-05
   5.3065684345E-05  9.9892103594E+00  9.9891337881E+00  7.6654E-06
