 Inner phase shift
  -7.4436630690042332E-002
 Coulomb phase shift
   6.6559957353976501E-005
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   1.02068638E-06  0.00000000E+00  0.00000000E+00
   2.08389025E-06  0.00000000E+00  0.00000000E+00
   3.19138222E-06  0.00000000E+00  0.00000000E+00
   4.34500659E-06  0.00000000E+00  0.00000000E+00
   5.54668443E-06  0.00000000E+00  0.00000000E+00
   6.79841672E-06  0.00000000E+00  0.00000000E+00
   8.10228775E-06  0.00000000E+00  0.00000000E+00
   9.46046852E-06  0.00000000E+00  0.00000000E+00
   1.08752204E-05  0.00000000E+00  0.00000000E+00
   1.23488987E-05  0.00000000E+00  0.00000000E+00
   1.38839570E-05  0.00000000E+00  0.00000000E+00
   1.54829508E-05  0.00000000E+00  0.00000000E+00
   1.71485418E-05  0.00000000E+00  0.00000000E+00
   1.88835026E-05  0.00000000E+00  0.00000000E+00
   2.06907210E-05  0.00000000E+00  0.00000000E+00
   2.25732049E-05  0.00000000E+00  0.00000000E+00
   2.45340875E-05  0.00000000E+00  0.00000000E+00
   2.65766321E-05  0.00000000E+00  0.00000000E+00
   2.87042377E-05  0.00000000E+00  0.00000000E+00
   3.09204447E-05  0.00000000E+00  0.00000000E+00
   3.32289405E-05  0.00000000E+00  0.00000000E+00
   3.56335662E-05  0.00000000E+00  0.00000000E+00
   3.81383220E-05  0.00000000E+00  0.00000000E+00
   4.07473748E-05  0.00000000E+00  0.00000000E+00
   4.34650646E-05  0.00000000E+00  0.00000000E+00
   4.62959114E-05  0.00000000E+00  0.00000000E+00
   4.92446235E-05  0.00000000E+00  0.00000000E+00
   5.23161044E-05  0.00000000E+00  0.00000000E+00
   5.55154615E-05  0.00000000E+00  0.00000000E+00
   5.88480142E-05  0.00000000E+00  0.00000000E+00
   6.23193028E-05  0.00000000E+00  0.00000000E+00
   6.59350979E-05  0.00000000E+00  0.00000000E+00
   6.97014092E-05  0.00000000E+00  0.00000000E+00
   7.36244964E-05  0.00000000E+00  0.00000000E+00
   7.77108784E-05  0.00000000E+00  0.00000000E+00
   8.19673451E-05  0.00000000E+00  0.00000000E+00
   8.64009680E-05  0.00000000E+00  0.00000000E+00
   9.10191116E-05  0.00000000E+00  0.00000000E+00
   9.58294462E-05  0.00000000E+00  0.00000000E+00
   1.00839960E-04  0.00000000E+00  0.00000000E+00
   1.06058973E-04  0.00000000E+00  0.00000000E+00
   1.11495148E-04  0.00000000E+00  0.00000000E+00
   1.17157509E-04  0.00000000E+00  0.00000000E+00
